repository,url,age,releases,stars,loc,cbo,dit,lcom,visited
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,4,0,131757,0,,,,True
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,8,0,80199,32513,3.0,6.0,0.0,True
MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,4,0,72472,69,1.0,1.0,0.0,True
doocs/advanced-java,https://github.com/doocs/advanced-java,4,1,69010,0,,,,True
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,10,163,66035,311759,4.0,13.0,0.0,True
macrozheng/mall,https://github.com/macrozheng/mall,4,2,64043,100638,3.0,4.0,13.0,True
elastic/elasticsearch,https://github.com/elastic/elasticsearch,13,108,62982,1910283,5.0,176.0,1.0,True
GrowingGit/GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,3,0,60382,5,0.0,1.0,0.0,True
kdn251/interviews,https://github.com/kdn251/interviews,6,0,59328,5622,1.0,2.0,0.0,True
spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,12,249,51026,650929,3.0,60.0,0.0,True
TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,6,0,50637,28925,2.0,4.0,1.0,True
google/guava,https://github.com/google/guava,8,35,46952,261456,2.0,66.0,0.0,True
ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,10,231,46860,369970,1.0,26.0,0.0,True
square/retrofit,https://github.com/square/retrofit,12,0,41253,26747,3.0,16.0,0.0,True
apache/dubbo,https://github.com/apache/dubbo,10,74,38521,200669,3.0,10.0,0.0,True
NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,4,26,37811,1677457,4.0,60.0,1.0,True
PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,8,44,36212,21111,5.0,6.0,1.0,True
jeecgboot/jeecg-boot,https://github.com/jeecgboot/jeecg-boot,4,26,33809,35787,4.0,4.0,0.0,True
airbnb/lottie-android,https://github.com/airbnb/lottie-android,6,44,33671,15944,5.0,6.0,1.0,True
skylot/jadx,https://github.com/skylot/jadx,9,27,33647,103467,3.0,21.0,0.0,True
eugenp/tutorials,https://github.com/eugenp/tutorials,9,0,33579,381876,3.0,11.0,0.0,True
bumptech/glide,https://github.com/bumptech/glide,9,44,33419,57246,4.0,20.0,0.0,True
geekxh/hello-algorithm,https://github.com/geekxh/hello-algorithm,2,0,32108,55,1.0,1.0,0.0,True
Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,6,117,31930,39966,2.0,10.0,0.0,True
alibaba/arthas,https://github.com/alibaba/arthas,4,47,31900,40326,3.0,14.0,1.0,True
dbeaver/dbeaver,https://github.com/dbeaver/dbeaver,7,171,30954,418149,4.0,28.0,1.0,True
netty/netty,https://github.com/netty/netty,12,0,30823,312978,2.0,26.0,0.0,True
zxing/zxing,https://github.com/zxing/zxing,11,29,30752,39611,4.0,6.0,0.0,True
xkcoding/spring-boot-demo,https://github.com/xkcoding/spring-boot-demo,5,0,28920,7154,4.0,5.0,0.0,True
ityouknow/spring-boot-examples,https://github.com/ityouknow/spring-boot-examples,6,0,28640,4847,4.0,2.0,0.0,True
apolloconfig/apollo,https://github.com/apolloconfig/apollo,7,38,27824,26809,6.0,14.0,0.0,True
alibaba/easyexcel,https://github.com/alibaba/easyexcel,5,5,27017,19667,5.0,8.0,1.0,True
crossoverJie/JCSprout,https://github.com/crossoverJie/JCSprout,5,0,26954,4399,1.0,4.0,0.0,True
alibaba/druid,https://github.com/alibaba/druid,11,48,26625,318090,4.0,32.0,0.0,True
halo-dev/halo,https://github.com/halo-dev/halo,4,110,26253,28560,5.0,8.0,0.0,True
SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium,10,80,26003,90815,3.0,28.0,0.0,True
qiurunze123/miaosha,https://github.com/qiurunze123/miaosha,4,0,25762,8581,3.0,4.0,0.0,True
lenve/vhr,https://github.com/lenve/vhr,5,0,25656,2971,2.0,2.0,6.0,True
alibaba/nacos,https://github.com/alibaba/nacos,4,52,25655,110512,3.0,16.0,0.0,True
JakeWharton/butterknife,https://github.com/JakeWharton/butterknife,10,0,25653,7712,2.0,6.0,0.0,True
dromara/hutool,https://github.com/dromara/hutool,8,129,25619,116522,3.0,11.0,1.0,True
alibaba/fastjson,https://github.com/alibaba/fastjson,11,84,25199,206496,1.0,15.0,0.0,True
alibaba/canal,https://github.com/alibaba/canal,10,26,25190,107662,4.0,13.0,1.0,True
wuyouzhuguli/SpringAll,https://github.com/wuyouzhuguli/SpringAll,4,0,25161,5912,4.0,4.0,0.0,True
proxyee-down-org/proxyee-down,https://github.com/proxyee-down-org/proxyee-down,5,49,25107,3392,4.0,5.0,2.0,True
alibaba/spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba,5,32,24963,15256,5.0,4.0,0.0,True
hollischuang/toBeTopJavaer,https://github.com/hollischuang/toBeTopJavaer,4,0,24433,0,,,,True
apache/kafka,https://github.com/apache/kafka,11,0,24366,430530,4.0,17.0,0.0,True
greenrobot/EventBus,https://github.com/greenrobot/EventBus,10,7,24275,5269,3.0,12.0,0.0,True
scwang90/SmartRefreshLayout,https://github.com/scwang90/SmartRefreshLayout,5,10,24097,19480,3.0,6.0,0.0,True
xuxueli/xxl-job,https://github.com/xuxueli/xxl-job,7,31,23751,8606,3.0,4.0,0.0,True
CymChad/BaseRecyclerViewAdapterHelper,https://github.com/CymChad/BaseRecyclerViewAdapterHelper,6,196,23436,3931,3.0,7.0,0.0,True
seata/seata,https://github.com/seata/seata,4,35,23423,180625,5.0,911.0,3.0,True
